date;diesel_uptosep2021;regular_diesel
2008-11-18;1.16;
2008-11-19;1.1386;
2008-11-20;1.1231;
2008-11-21;1.1231;
2008-11-22;1.1156;
2008-11-23;1.1156;
2008-11-24;1.1231;
2008-11-25;1.119;
2008-11-26;1.1217;
2008-11-27;1.0983;
2008-11-28;1.0912;
2008-11-29;1.0817;
2008-11-30;1.0817;
2008-12-01;1.089;
2008-12-02;1.0791;
2008-12-03;1.0676;
2008-12-04;1.0633;
2008-12-05;1.0635;
2008-12-06;1.0529;
2008-12-07;1.0529;
2008-12-08;1.0596;
2008-12-09;1.0579;
2008-12-10;1.0446;
2008-12-11;1.0446;
2008-12-12;1.0446;
2008-12-13;1.027;
2008-12-14;1.0269;
2008-12-15;1.0122;
2008-12-16;1.0119;
2008-12-17;1.0087;
2008-12-18;0.9944;
2008-12-19;0.9945;
2008-12-20;0.9944;
2008-12-21;0.9944;
2008-12-22;0.9825;
2008-12-23;0.9825;
2008-12-24;0.9752;
2008-12-25;0.9752;
2008-12-26;0.9745;
2008-12-27;0.9626;
2008-12-28;0.9626;
2008-12-29;0.9603;
2008-12-30;0.9597;
2008-12-31;0.9503;
2009-01-01;0.9396;
2009-01-02;0.9387;
2009-01-03;0.9387;
2009-01-04;0.9387;
2009-01-05;0.9366;
2009-01-06;0.9327;
2009-01-07;0.9327;
2009-01-08;0.9255;
2009-01-09;0.9254;
2009-01-10;0.9267;
2009-01-11;0.928;
2009-01-12;0.9218;
2009-01-13;0.9277;
2009-01-14;0.9384;
2009-01-15;0.9512;
2009-01-16;0.957;
2009-01-17;0.9568;
2009-01-18;0.9569;
2009-01-19;0.9576;
2009-01-20;0.9582;
2009-01-21;0.9576;
2009-01-22;0.9568;
2009-01-23;0.9555;
2009-01-24;0.9552;
2009-01-25;0.9552;
2009-01-26;0.9547;
2009-01-27;0.9545;
2009-01-28;0.9551;
2009-01-29;0.9527;
2009-01-30;0.9497;
2009-01-31;0.9489;
2009-02-01;0.9489;
2009-02-02;0.9492;
2009-02-03;0.9568;
2009-02-04;0.9603;
2009-02-05;0.9608;
2009-02-06;0.961;
2009-02-07;0.9608;
2009-02-08;0.9609;
2009-02-09;0.9623;
2009-02-10;0.962;
2009-02-11;0.9619;
2009-02-12;0.9619;
2009-02-13;0.9615;
2009-02-14;0.961;
2009-02-15;0.9609;
2009-02-16;0.9626;
2009-02-17;0.9624;
2009-02-18;0.9579;
2009-02-19;0.9536;
2009-02-20;0.9536;
2009-02-21;0.9519;
2009-02-22;0.9518;
2009-02-23;0.954;
2009-02-24;0.9529;
2009-02-25;0.941;
2009-02-26;0.9285;
2009-02-27;0.9271;
2009-02-28;0.9246;
2009-03-01;0.9242;
2009-03-02;0.9256;
2009-03-03;0.9253;
2009-03-04;0.9258;
2009-03-05;1.0103;
2009-03-06;1.0099;
2009-03-07;0.9244;
2009-03-08;0.9243;
2009-03-09;0.9258;
2009-03-10;0.9255;
2009-03-11;0.9248;
2009-03-12;0.9245;
2009-03-13;0.9243;
2009-03-14;0.9228;
2009-03-15;0.9229;
2009-03-16;0.9244;
2009-03-17;0.9245;
2009-03-18;0.9244;
2009-03-19;0.9244;
2009-03-20;0.9241;
2009-03-21;0.9221;
2009-03-22;0.9221;
2009-03-23;0.9242;
2009-03-24;0.9242;
2009-03-25;1.0933;
2009-03-26;0.9323;
2009-03-27;0.9325;
2009-03-28;0.9323;
2009-03-29;0.9322;
2009-03-30;0.9333;
2009-03-31;0.9345;
2009-04-01;0.953;
2009-04-02;0.9557;
2009-04-03;0.9562;
2009-04-04;0.9549;
2009-04-05;0.955;
2009-04-06;0.9581;
2009-04-07;0.9581;
2009-04-08;0.9578;
2009-04-09;0.958;
2009-04-10;0.958;
2009-04-11;0.9554;
2009-04-12;0.9555;
2009-04-13;0.9583;
2009-04-14;0.9584;
2009-04-15;0.9636;
2009-04-16;0.9657;
2009-04-17;0.9673;
2009-04-18;0.9672;
2009-04-19;0.9673;
2009-04-20;0.9711;
2009-04-21;0.9721;
2009-04-22;0.9738;
2009-04-23;0.9752;
2009-04-24;0.9753;
2009-04-25;0.9723;
2009-04-26;0.9723;
