Sum of precoMedio;Column Labels;;;;;;;;;;;;;;;;;
Row Labels;Biodiesel B15;Gasóleo (até setembro 2021);Gasóleo colorido;Gasóleo de aquecimento;Gasóleo especial;Gasóleo simples;Gasolina 95 (até setembro 2021);Gasolina 98;Gasolina de mistura (motores a 2 tempos);Gasolina especial 95;Gasolina especial 98;Gasolina simples 95;GNC (gás natural comprimido) - €/kg;GNC (gás natural comprimido) - €/m3;GNL (gás natural liquefeito) - €/kg;GPL Auto;(blank);Grand Total
18/11/2008;;1,16;0,77;;1,23;;1,24;1,38;;1,31;1,39;;;;;;;8,48
19/11/2008;;1,1386;0,7471;;1,2156;;1,2164;1,3799;;1,2691;1,3389;;;;;;;8,3056
20/11/2008;;1,1231;0,7466;;1,197;;1,202;1,3483;;1,2691;1,3389;;;;;;;8,225
21/11/2008;;1,1231;0,7466;;1,197;;1,202;1,3483;;1,2691;1,3389;;;;;;;8,225
22/11/2008;;1,1156;0,7466;;1,1912;;1,1924;1,3483;;1,249;1,3162;;;;;;;8,1593
23/11/2008;;1,1156;0,7466;;1,1912;;1,1924;1,3483;;1,249;1,3162;;;;;;;8,1593
24/11/2008;;1,1231;0,7466;;1,197;;1,202;1,3483;;1,2691;1,3389;;;;;;;8,225
25/11/2008;;1,119;0,7464;;1,1931;;1,1979;1,3483;;1,2691;1,3389;;;;;;;8,2127
26/11/2008;;1,1217;0,762;;1,1938;;1,2025;1,3627;;1,2691;1,3389;;;;;;;8,2507
27/11/2008;;1,0983;0,7843;;1,1718;;1,1721;1,3629;;1,2211;1,2889;;;;;;;8,0994
28/11/2008;;1,0912;0,7843;;1,1631;;1,1655;1,3324;;1,2211;1,2889;;;;;;;8,0465
29/11/2008;;1,0817;0,7842;;1,1558;;1,1539;1,3324;;1,2011;1,2663;;;;;;;7,9754
30/11/2008;;1,0817;0,7842;;1,1558;;1,1539;1,3324;;1,2011;1,2663;;;;;;;7,9754
01/12/2008;;1,089;0,7842;;1,1616;;1,1632;1,3324;;1,2211;1,2889;;;;;;;8,0404
02/12/2008;;1,0791;0,7173;;1,1607;;1,1513;1,2598;;1,2211;1,2889;;;;;;;7,8782
03/12/2008;;1,0676;0,6812;;1,1537;;1,1411;1,22;;1,2087;1,2888;;;;;;;7,7611
04/12/2008;;1,0633;0,681;;1,1473;;1,1391;1,22;;1,2087;1,2888;;;;;;;7,7482
05/12/2008;;1,0635;0,681;;1,1469;;1,142;1,22;;1,2088;1,2968;;;;;;;7,759
06/12/2008;;1,0529;0,681;;1,1374;;1,134;1,22;;1,188;1,2748;;;;;;;7,6881
07/12/2008;;1,0529;0,681;;1,1374;;1,134;1,22;;1,188;1,2748;;;;;;;7,6881
