data;tipoCombustivel;precoMedio
"2008-12-31";"GPL Auto";"0,5610 €"
"2009-01-01";"GPL Auto";"0,5610 €"
"2009-01-02";"GPL Auto";"0,5610 €"
"2009-01-03";"GPL Auto";"0,5610 €"
"2009-01-04";"GPL Auto";"0,5610 €"
"2009-01-05";"GPL Auto";"0,5610 €"
"2009-01-06";"GPL Auto";"0,5620 €"
"2009-01-07";"GPL Auto";"0,5620 €"
"2009-01-08";"GPL Auto";"0,5620 €"
"2009-01-09";"GPL Auto";"0,5620 €"
"2009-01-10";"GPL Auto";"0,5620 €"
"2009-01-11";"GPL Auto";"0,5620 €"
"2009-01-12";"GPL Auto";"0,5672 €"
"2009-01-13";"GPL Auto";"0,5645 €"
"2009-01-14";"GPL Auto";"0,5633 €"
"2009-01-15";"GPL Auto";"0,5613 €"
"2009-01-16";"GPL Auto";"0,5613 €"
"2009-01-17";"GPL Auto";"0,5613 €"
"2009-01-18";"GPL Auto";"0,5613 €"
"2009-01-19";"GPL Auto";"0,5597 €"
"2009-01-20";"GPL Auto";"0,5597 €"
"2009-01-21";"GPL Auto";"0,5579 €"
"2009-01-22";"GPL Auto";"0,5559 €"
"2009-01-23";"GPL Auto";"0,5557 €"
"2009-01-24";"GPL Auto";"0,5557 €"
"2009-01-25";"GPL Auto";"0,5557 €"
"2009-01-26";"GPL Auto";"0,5535 €"
"2009-01-27";"GPL Auto";"0,5450 €"
"2009-01-28";"GPL Auto";"0,5528 €"
"2009-01-29";"GPL Auto";"0,5501 €"
"2009-01-30";"GPL Auto";"0,5502 €"
"2009-01-31";"GPL Auto";"0,5502 €"
"2009-02-01";"GPL Auto";"0,5371 €"
"2009-02-02";"GPL Auto";"0,5371 €"
"2009-02-03";"GPL Auto";"0,5371 €"
"2009-02-04";"GPL Auto";"0,5366 €"
"2009-02-05";"GPL Auto";"0,5365 €"
"2009-02-06";"GPL Auto";"0,5365 €"
"2009-02-07";"GPL Auto";"0,5365 €"
"2009-02-08";"GPL Auto";"0,5365 €"
"2009-02-09";"GPL Auto";"0,5362 €"
"2009-02-10";"GPL Auto";"0,5362 €"
"2009-02-11";"GPL Auto";"0,5362 €"
"2009-02-12";"GPL Auto";"0,5357 €"
"2009-02-13";"GPL Auto";"0,5347 €"
"2009-02-14";"GPL Auto";"0,5331 €"
"2009-02-15";"GPL Auto";"0,5329 €"
"2009-02-16";"GPL Auto";"0,5337 €"
"2009-02-17";"GPL Auto";"0,5337 €"
"2009-02-18";"GPL Auto";"0,5339 €"
