date;gasoline95_uptosep2021;gasoline95;gasoline98
2008-11-18;1.24;;1.38
2008-11-19;1.2164;;1.3799
2008-11-20;1.202;;1.3483
2008-11-21;1.202;;1.3483
2008-11-22;1.1924;;1.3483
2008-11-23;1.1924;;1.3483
2008-11-24;1.202;;1.3483
2008-11-25;1.1979;;1.3483
2008-11-26;1.2025;;1.3627
2008-11-27;1.1721;;1.3629
2008-11-28;1.1655;;1.3324
2008-11-29;1.1539;;1.3324
2008-11-30;1.1539;;1.3324
2008-12-01;1.1632;;1.3324
2008-12-02;1.1513;;1.2598
2008-12-03;1.1411;;1.22
2008-12-04;1.1391;;1.22
2008-12-05;1.142;;1.22
2008-12-06;1.134;;1.22
2008-12-07;1.134;;1.22
2008-12-08;1.142;;1.22
2008-12-09;1.1391;;1.22
2008-12-10;1.1329;;1.2193
2008-12-11;1.1329;;1.2193
2008-12-12;1.1329;;1.2193
2008-12-13;1.1248;;1.2193
2008-12-14;1.1248;;1.2193
2008-12-15;1.1259;;1.2193
2008-12-16;1.1258;;1.2189
2008-12-17;1.1211;;1.2188
2008-12-18;1.1139;;1.202
2008-12-19;1.1139;;1.202
2008-12-20;1.1139;;1.202
2008-12-21;1.1139;;1.202
2008-12-22;1.1067;;1.1794
2008-12-23;1.1067;;1.1794
2008-12-24;1.1;;1.1792
2008-12-25;1.1;;1.1792
2008-12-26;1.098;;1.1744
2008-12-27;1.0828;;1.1673
2008-12-28;1.0828;;1.167
2008-12-29;1.0801;;1.1582
2008-12-30;1.0796;;1.1576
2008-12-31;1.0727;;1.1436
2009-01-01;1.0642;;1.1372
2009-01-02;1.0629;;1.1357
2009-01-03;1.0629;;1.1357
2009-01-04;1.0629;;1.1357
2009-01-05;1.0613;;1.1313
2009-01-06;1.0583;;1.1044
2009-01-07;1.0585;;1.1045
2009-01-08;1.0516;;1.1009
2009-01-09;1.0508;;1.1001
2009-01-10;1.0512;;1.0998
2009-01-11;1.0525;;1.0999
2009-01-12;1.0492;;1.0973
2009-01-13;1.0556;;1.1012
2009-01-14;1.0622;;1.1204
2009-01-15;1.0779;;1.1314
2009-01-16;1.0847;;1.1385
2009-01-17;1.0844;;1.1386
2009-01-18;1.0845;;1.1388
2009-01-19;1.0854;;1.1408
2009-01-20;1.0863;;1.1418
2009-01-21;1.0875;;1.1435
2009-01-22;1.0906;;1.1459
2009-01-23;1.0898;;1.1463
2009-01-24;1.0898;;1.1462
2009-01-25;1.0898;;1.1462
2009-01-26;1.0895;;1.1462
2009-01-27;1.0901;;1.1472
2009-01-28;1.0914;;1.1452
2009-01-29;1.0966;;1.1556
2009-01-30;1.1039;;1.1613
2009-01-31;1.1042;;1.1616
2009-02-01;1.1042;;1.1616
2009-02-02;1.105;;1.1625
2009-02-03;1.1137;;1.1667
2009-02-04;1.1249;;1.1774
2009-02-05;1.1313;;1.1839
2009-02-06;1.133;;1.1858
2009-02-07;1.133;;1.1855
2009-02-08;1.133;;1.1857
2009-02-09;1.1349;;1.1882
2009-02-10;1.135;;1.1886
2009-02-11;1.1356;;1.1894
2009-02-12;1.1448;;1.1983
2009-02-13;1.1473;;1.2019
2009-02-14;1.149;;1.2029
2009-02-15;1.1492;;1.2033
2009-02-16;1.5416;;1.2227
2009-02-17;1.5359;;1.2228
2009-02-18;1.5172;;1.2294
2009-02-19;1.1658;;1.2349
2009-02-20;1.1664;;1.2354
2009-02-21;1.1646;;1.2349
2009-02-22;1.1644;;1.2351
2009-02-23;1.1672;;1.2361
2009-02-24;1.166;;1.2356
2009-02-25;1.1527;;1.2219
2009-02-26;1.1415;;1.213
2009-02-27;1.1409;;1.2124
2009-02-28;1.138;;1.2109
2009-03-01;1.1377;;1.2111
2009-03-02;1.1401;;1.2123
2009-03-03;1.14;;1.2123
2009-03-04;1.1409;;1.213
2009-03-05;1.1413;;1.2131
2009-03-06;1.1429;;1.2155
2009-03-07;1.1423;;1.2146
2009-03-08;1.142;;1.2147
2009-03-09;1.1439;;1.2158
2009-03-10;1.1439;;1.2157
2009-03-11;1.1473;;1.2202
2009-03-12;1.1497;;1.2222
2009-03-13;1.1499;;1.2227
2009-03-14;1.1487;;1.222
2009-03-15;1.1484;;1.2221
2009-03-16;1.1502;;1.2233
2009-03-17;1.1504;;1.2233
2009-03-18;1.1493;;1.2225
2009-03-19;1.1492;;1.2224
2009-03-20;1.149;;1.2225
2009-03-21;1.1464;;1.2211
2009-03-22;1.1463;;1.2214
2009-03-23;1.1492;;1.2226
2009-03-24;1.1493;;1.2226
2009-03-25;1.1541;;1.2273
2009-03-26;1.1581;;1.2309
2009-03-27;1.1591;;1.2314
2009-03-28;1.1582;;1.2321
2009-03-29;1.158;;1.2322
2009-03-30;1.1599;;1.2268
2009-03-31;1.1612;;1.2274
2009-04-01;1.1743;;1.2415
2009-04-02;1.1765;;1.2438
2009-04-03;1.176;;1.2447
2009-04-04;1.1738;;1.2425
2009-04-05;1.1738;;1.2427
2009-04-06;1.1782;;1.2451
2009-04-07;1.1781;;1.2452
2009-04-08;1.1779;;1.2455
2009-04-09;1.1779;;1.2455
2009-04-10;1.1779;;1.2456
2009-04-11;1.1745;;1.243
2009-04-12;1.1743;;1.2432
2009-04-13;1.1783;;1.246
2009-04-14;1.1785;;1.2463
2009-04-15;1.1845;;1.2516
2009-04-16;1.1855;;1.2528
2009-04-17;1.1863;;1.2531
2009-04-18;1.1847;;1.2511
2009-04-19;1.1845;;1.2513
2009-04-20;1.1894;;1.2541
2009-04-21;1.1895;;1.2544
2009-04-22;1.1913;;1.2557
2009-04-23;1.1938;;1.259
2009-04-24;1.1986;;1.2675
2009-04-25;1.1946;;1.2652
2009-04-26;1.1945;;1.2655
2009-04-27;1.1993;;1.2683
2009-04-28;1.1994;;1.2683
2009-04-29;1.1985;;1.2682
2009-04-30;1.1987;;1.2681
2009-05-01;1.1985;;1.2681
2009-05-02;1.1942;;1.2654
2009-05-03;1.1941;;1.2656
2009-05-04;1.1987;;1.2683
2009-05-05;1.1987;;1.2684
2009-05-06;1.1992;;1.2687
2009-05-07;1.1991;;1.2687
2009-05-08;1.1989;;1.2688
2009-05-09;1.1971;;1.2683
2009-05-10;1.1997;;1.27
2009-05-11;1.2071;;1.2743
2009-05-12;1.2109;;1.2795
2009-05-13;1.2218;;1.2917
2009-05-14;1.2306;;1.3005
2009-05-15;1.2341;;1.3031
2009-05-16;1.2309;;1.3011
2009-05-17;1.231;;1.3014
2009-05-18;1.2359;;1.3043
2009-05-19;1.2375;;1.3051
2009-05-20;1.2449;;1.3116
2009-05-21;1.2478;;1.3152
2009-05-22;1.2483;;1.3157
2009-05-23;1.247;;1.3148
2009-05-24;1.2482;;1.3157
2009-05-25;1.2536;;1.3193
2009-05-26;1.2584;;1.3211
2009-05-27;1.2656;;1.3323
2009-05-28;1.2677;;1.3373
2009-05-29;1.269;;1.3389
2009-05-30;1.2657;;1.3363
2009-05-31;1.2646;;1.3365
2009-06-01;1.2693;;1.339
2009-06-02;1.2694;;1.339
2009-06-03;1.2704;;1.3388
2009-06-04;1.2715;;1.34
2009-06-05;1.2717;;1.3402
2009-06-06;1.2714;;1.3392
2009-06-07;1.2719;;1.3399
2009-06-08;1.2798;;1.3443
2009-06-09;1.2838;;1.3482
2009-06-10;1.2905;;1.3559
2009-06-11;1.291;;1.3567
2009-06-12;1.293;;1.3611
2009-06-13;1.2906;;1.3593
2009-06-14;1.2906;;1.3596
2009-06-15;1.294;;1.3621
2009-06-16;1.2946;;1.3627
2009-06-17;1.3048;;1.3733
2009-06-18;1.3086;;1.3767
2009-06-19;1.3093;;1.3775
2009-06-20;1.306;;1.3754
2009-06-21;1.3059;;1.3756
2009-06-22;1.3096;;1.3777
2009-06-23;1.3108;;1.3878
2009-06-24;1.3149;;1.3905
2009-06-25;1.3173;;1.3943
2009-06-26;1.3183;;1.3952
2009-06-27;1.3146;;1.393
2009-06-28;1.3145;;1.393
